0x0401 SB_SETTEXTA
0x0401 TB_ENABLEBUTTON
0x0401 TBM_GETRANGEMIN
0x0401 TTM_ACTIVATE
0x0401 WM_CHOOSEFONT_GETLOGFONT
0x0401 WM_PSD_FULLPAGERECT
0x0402 CBEM_SETIMAGELIST
0x0402 DDM_CLOSE
0x0402 DM_REPOSITION
0x0402 HKM_GETHOTKEY
0x0402 PBM_SETPOS
0x0402 RB_DELETEBAND
0x0402 SB_GETTEXTA
0x0402 TB_CHECKBUTTON
0x0402 TBM_GETRANGEMAX
0x0402 WM_PSD_MINMARGINRECT
0x0403 CBEM_GETIMAGELIST
0x0403 DDM_BEGIN
0x0403 HKM_SETRULES
0x0403 PBM_DELTAPOS
0x0403 RB_GETBARINFO
0x0403 SB_GETTEXTLENGTHA
0x0403 TB_PRESSBUTTON
0x0403 TBM_GETTIC
0x0403 TTM_SETDELAYTIME
0x0403 WM_PSD_MARGINRECT
0x0404 CBEM_GETITEMA
0x0404 DDM_END
0x0404 PBM_SETSTEP
0x0404 RB_SETBARINFO
0x0404 SB_SETPARTS
0x0404 TB_HIDEBUTTON
0x0404 TBM_SETTIC
0x0404 TTM_ADDTOOLA
0x0404 WM_PSD_GREEKTEXTRECT
0x0405 CBEM_SETITEMA
0x0405 PBM_STEPIT
0x0405 TB_INDETERMINATE
0x0405 TBM_SETPOS
0x0405 TTM_DELTOOLA
0x0405 WM_PSD_ENVSTAMPRECT
0x0406 CBEM_GETCOMBOCONTROL
0x0406 PBM_SETRANGE32
0x0406 RB_SETBANDINFOA
0x0406 SB_GETPARTS
0x0406 TB_MARKBUTTON
0x0406 TBM_SETRANGE
0x0406 TTM_NEWTOOLRECTA
0x0406 WM_PSD_YAFULLPAGERECT
0x0407 CBEM_GETEDITCONTROL
0x0407 PBM_GETRANGE
0x0407 RB_SETPARENT
0x0407 SB_GETBORDERS
0x0407 TBM_SETRANGEMIN
0x0407 TTM_RELAYEVENT
0x0408 CBEM_SETEXSTYLE
0x0408 PBM_GETPOS
0x0408 RB_HITTEST
0x0408 SB_SETMINHEIGHT
0x0408 TBM_SETRANGEMAX
0x0408 TTM_GETTOOLINFOA
0x0409 CBEM_GETEXSTYLE
0x0409 CBEM_GETEXTENDEDSTYLE
0x0409 PBM_SETBARCOLOR
0x0409 RB_GETRECT
0x0409 SB_SIMPLE
0x0409 TB_ISBUTTONENABLED
0x0409 TBM_CLEARTICS
0x0409 TTM_SETTOOLINFOA
0x040A CBEM_HASEDITCHANGED
0x040A RB_INSERTBANDW
0x040A SB_GETRECT
0x040A TB_ISBUTTONCHECKED
0x040A TBM_SETSEL
0x040A TTM_HITTESTA
0x040A WIZ_QUERYNUMPAGES
0x040B CBEM_INSERTITEMW
0x040B RB_SETBANDINFOW
0x040B SB_SETTEXTW
0x040B TB_ISBUTTONPRESSED
0x040B TBM_SETSELSTART
0x040B TTM_GETTEXTA
0x040B WIZ_NEXT
0x040C CBEM_SETITEMW
0x040C RB_GETBANDCOUNT
0x040C SB_GETTEXTLENGTHW
0x040C TB_ISBUTTONHIDDEN
0x040C TBM_SETSELEND
0x040C TTM_UPDATETIPTEXTA
0x040C WIZ_PREV
0x040D CBEM_GETITEMW
0x040D RB_GETROWCOUNT
0x040D SB_GETTEXTW
0x040D TB_ISBUTTONINDETERMINATE
0x040D TTM_GETTOOLCOUNT
0x040E CBEM_SETEXTENDEDSTYLE
0x040E RB_GETROWHEIGHT
0x040E SB_ISSIMPLE
0x040E TB_ISBUTTONHIGHLIGHTED
0x040E TBM_GETPTICS
0x040E TTM_ENUMTOOLSA
0x040F SB_SETICON
0x040F TBM_GETTICPOS
0x040F TTM_GETCURRENTTOOLA
0x0410 RB_IDTOINDEX
0x0410 SB_SETTIPTEXTA
0x0410 TBM_GETNUMTICS
0x0410 TTM_WINDOWFROMPOINT
0x0411 RB_GETTOOLTIPS
0x0411 SB_SETTIPTEXTW
0x0411 TB_SETSTATE
0x0411 TBM_GETSELSTART
0x0411 TTM_TRACKACTIVATE
0x0412 RB_SETTOOLTIPS
0x0412 SB_GETTIPTEXTA
0x0412 TB_GETSTATE
0x0412 TBM_GETSELEND
0x0412 TTM_TRACKPOSITION
0x0413 RB_SETBKCOLOR
0x0413 SB_GETTIPTEXTW
0x0413 TB_ADDBITMAP
0x0413 TBM_CLEARSEL
0x0413 TTM_SETTIPBKCOLOR
0x0414 RB_GETBKCOLOR
0x0414 SB_GETICON
0x0414 TB_ADDBUTTONSA
0x0414 TBM_SETTICFREQ
0x0414 TTM_SETTIPTEXTCOLOR
0x0415 RB_SETTEXTCOLOR
0x0415 TB_INSERTBUTTONA
0x0415 TBM_SETPAGESIZE
0x0415 TTM_GETDELAYTIME
0x0416 RB_GETTEXTCOLOR
0x0416 TB_DELETEBUTTON
0x0416 TBM_GETPAGESIZE
0x0416 TTM_GETTIPBKCOLOR
0x0417 RB_SIZETORECT
0x0417 TB_GETBUTTON
0x0417 TBM_SETLINESIZE
0x0417 TTM_GETTIPTEXTCOLOR
0x0418 RB_BEGINDRAG
0x0418 TB_BUTTONCOUNT
0x0418 TBM_GETLINESIZE
0x0418 TTM_SETMAXTIPWIDTH
0x0419 RB_ENDDRAG
0x0419 TB_COMMANDTOINDEX
0x0419 TBM_GETTHUMBRECT
0x0419 TTM_GETMAXTIPWIDTH
0x041A RB_DRAGMOVE
0x041A TB_SAVERESTOREA
0x041A TBM_GETCHANNELRECT
0x041A TTM_SETMARGIN
0x041B RB_GETBARHEIGHT
0x041B TB_CUSTOMIZE
0x041B TBM_SETTHUMBLENGTH
0x041B TTM_GETMARGIN
0x041C RB_GETBANDINFOW
0x041C TB_ADDSTRINGA
0x041C TBM_GETTHUMBLENGTH
0x041C TTM_POP
0x041D RB_GETBANDINFOA
0x041D TB_GETITEMRECT
0x041D TBM_SETTOOLTIPS
0x041D TTM_UPDATE
0x041E RB_MINIMIZEBAND
0x041E TB_BUTTONSTRUCTSIZE
0x041E TBM_GETTOOLTIPS
0x041E TTM_GETBUBBLESIZE
0x041F RB_MAXIMIZEBAND
0x041F TB_SETBUTTONSIZE
0x041F TBM_SETTIPSIDE
0x041F TTM_ADJUSTRECT
